ORP,uroven,Hladina,Teplota,Vlhkost,Posledni_mereni,Nazev,Obec,Adresa,GPS_souradnice,Tok,SiteGuid,Wgs84Lon,Wgs84Lat,GeoposCode,GeoposLonX,GeoposLatY,SiteOperator,WaterwayCode,HydroOrderNum,ProfileWatcherClass,RiverDistance,RiverDistanceUnit,ZeroGaugeElevation,ZeroGaugeElevationUnit
BI-01,NORMAL,10.0,14.1,48.9,2025-05-23 20:16:55,Bílina,Hrobčice (Razice),"Hrobčice 41, , 41757, Hrobčice","50,5222167937476, 13,810255950474",Mukovský potok,F18FEF75-4E4F-45BA-8814-99D682FD8158,13.8103,50.5222,JTSK-KROVAK,989036.0,779124.0,Ustecky kraj,144380000100,1-14-01-047,C,1.713,km,326.58,m.n.m.
BI-02,NORMAL,34.0,13.3,56.8,2025-05-23 19:30:33,Bílina,Hrobčice (Tvrdín),"Hrobčice 41, , 41757, Hrobčice","50,5034193063844, 13,8033304187447",Syčivka,BC1ED0F7-7C2C-4247-AAE3-86D42452AB17,13.8033,50.5034,JTSK-KROVAK,991034.0,779912.0,Ustecky kraj,144370000100,1-14-01-046,C,7.385,km,363.22,m.n.m.
BI-03,NORMAL,1.0,16.0,41.3,2025-05-23 20:11:21,Bílina,Měrunice,"Měrunice 67, 418 04, Měrunice","50,480234327012, 13,8178905028671",Lužický potok,91589F23-A713-4937-BC87-7D4E66615526,13.8179,50.4802,JTSK-KROVAK,993735.0,779262.0,Ustecky kraj,144340000100,1-14-01-043,C,8.54,km,400.05,m.n.m.
BI-04,NORMAL,21.0,13.6,55.4,2025-05-23 19:51:45,Bílina,Hrobčice (Mirošovice),"Hrobčice 41, , 41757, Hrobčice","50,5047296623691, 13,785606707471",Liběšický potok,8B23F827-6A2A-41DC-9BAD-49E5F2025098,13.7856,50.5047,JTSK-KROVAK,990708.0,781135.0,Ustecky kraj,144360200400,1-14-01-045/3,C,3.758,km,340.9,m.n.m.
CH-04,NELZE,,,,,Chomutov,Výsluní (Úbočí),"Městský úřad Kadaň, Mírové náměstí 1, 43201, Kadaň","50,4495765686302, 13,2424265641589",Prunéřovský potok,79E39877-DBFA-4694-8B7B-202176C6A141,13.2424,50.4496,JTSK-KROVAK,991057.0,820172.0,Ustecky kraj,142330200100,1-13-02-113,C,11.416,km,516.51,m.n.m.
DE-01,NORMAL,4.0,15.5,51.2,2025-05-23 20:25:58,Děčín,Huntířov,"Huntířov 126, 40502, Děčín","50,7942520942208, 14,3129485136455",Olešnička,F535954E-E28C-4663-88A8-829E562978EB,14.3129,50.7943,JTSK-KROVAK,964091.0,739667.0,Ustecky kraj,146350000100,1-14-05-010,C,6.412,km,316.86,m.n.m.
DE-04,NORMAL,8.0,14.6,55.3,2025-05-23 20:07:05,Děčín,Merboltice (Sluková),"Merboltice 53, 40502, Děčín","50,6816247522064, 14,2990346315471",Merboltický potok,5BECD568-5E9E-40B4-B49F-A39D12A1C38D,14.299,50.6816,JTSK-KROVAK,976365.0,742366.0,Ustecky kraj,145990000100,1-14-03-089,C,8.854,km,501.42,m.n.m.
DE-11,NORMAL,8.0,15.2,49.1,2025-05-23 19:56:49,Děčín,Heřmanov (Fojtovice),"Heřmanov 13, 40502, Děčín","50,713929, 14,270893",Fojtovický potok,48B1BB63-BC4E-4C60-8F40-CB1F831D190E,14.2731,50.7165,JTSK-KROVAK,972268.0,743643.0,Ustecky kraj,146030000100,1-14-03-093,C,4.086,km,347.61,m.n.m.
DE-12,NORMAL,14.0,11.2,63.9,2025-05-23 19:59:04,Děčín,Česká Kamenice (Kerhartice),"Náměstí Míru 219, 40721, Česká Kamenice","50,7706081, 14,3979750",Bystrá,F5A9061D-ED67-49F9-B47D-D87CF7B8E918,14.3938,50.7732,JTSK-KROVAK,967195.0,734337.0,Ustecky kraj,146070000100,1-14-03-099,C,12.541,km,278.51,m.n.m.
DE-13,NORMAL,17.0,15.9,47.4,2025-05-23 20:22:14,Děčín,Horní Habartice,"Horní Habartice 187, 40502, Děčín","50,7668597238304, 14,3440674558833",Bystrá,3DEA8AC9-76D6-4AFB-BEDA-83234E1E6826,14.3441,50.7669,JTSK-KROVAK,967411.0,737912.0,Ustecky kraj,146070000100,1-14-03-099,C,5.811,km,237.29,m.n.m.
DE-14,NORMAL,23.0,13.2,82.7,2025-05-23 20:01:03,Děčín,Heřmanov (Blankartice),"Heřmanov 13, 40502, Děčín","50,6986801363903, 14,2988405986118",Dolský potok,C5BAFAE3-19DA-4BF7-AE48-63EF5160DFC0,14.2988,50.6987,JTSK-KROVAK,974484.0,742118.0,Ustecky kraj,146040000100,1-14-03-094,C,4.227,km,478.51,m.n.m.
DE-15,NORMAL,19.0,14.0,56.1,2025-05-23 19:54:27,Děčín,Doubice,"Doubice 50, 407 47, Doubice","50,8886411, 14,4562444",Doubický potok,901288002342649,50.8886,14.4562,JTSK-KROVAK,111111.0,111111.0,Ustecky kraj,10222536,1-14-05-0150,C,2.935,km,375.0,m.n.m.
KA-01,SUCHO,-8.0,0.0,0.0,2025-05-23 20:20:10,Kadaň,Vejprty,"Městský úřad Vejprty, Tylova 870/6, 43191, Vejprty","50,4894015534968, 13,032858413442",Vejprtský potok,8685EB77-376C-4E43-999A-1CFD0A4F7FC3,13.0329,50.4894,JTSK-KROVAK,984399.0,834194.0,Ustecky kraj,147460000100,1-15-03-007,C,1.24,km,728.26,m.n.m.
KA-05,NORMAL,8.0,17.4,44.6,2025-05-23 20:02:47,Kadaň,Radonice (Kadaňský Rohozec),"Radonice 1, 43155, Radonice","50,2786830915214, 13,224259972197",Travná,14769103-F758-4242-9B14-7671707EAC1D,13.2243,50.2787,JTSK-KROVAK,1009650.0,824339.0,Ustecky kraj,142420100200,1-13-03-003/2,C,0.575,km,380.97,m.n.m.
KA-06,NELZE,,,,,Kadaň,Veliká Ves,"Obecní úřad Veliká Ves, Podlesice 53, 44101, Podbořany","50,2684840765092, 13,3743651586952",Dubá II,D83950E4-596F-4CD7-91C3-C3DAAACA97CD,13.3744,50.2685,JTSK-KROVAK,1012390.0,813934.0,Ustecky kraj,142520000100,1-15-03-017,C,1.813,km,273.12,m.n.m.
KA-07,SUCHO,-10.0,13.5,56.2,2025-05-23 19:42:34,Kadaň,Veliká Ves (Nové Třebčice),"Obecní úřad Veliká Ves, Podlesice 53, 44101, Podbořany","50,2814773447222, 13,3538995331066",Třebčický potok,0112291A-4751-4CFF-BF31-D7012F9F12AF,13.3539,50.2815,JTSK-KROVAK,1010740.0,815159.0,Ustecky kraj,142540000100,1-13-03-019,C,4.569,km,285.94,m.n.m.
KA-08,NELZE,,,,,Kadaň,Kadaň (Úhošťany),"Městský úřad Kadaň, Mírové náměstí 1, 43201, Kadaň","50,3534411499224, 13,2590235253303",Úhošťanský potok,0D8F7F33-7E4C-4E47-915B-033AE2A38763,13.259,50.3534,JTSK-KROVAK,1001800.0,820629.0,Ustecky kraj,142340000100,1-13-02-118,C,6.245,km,384.77,m.n.m.
KA-11,SUCHO,-1.0,11.3,59.6,2025-05-23 19:39:49,Kadaň,Radonice (Háj),"Radonice 1, 43155, Radonice","50,2878673299185,  13,2441355121162",Hájský potok,0EBFB74F-874D-40E8-81C8-AA779A5946F7,13.2441,50.2879,JTSK-KROVAK,1008850.0,822784.0,Ustecky kraj,142430100200,1-13-03-005,C,1.753,km,360.72,m.n.m.
KA-12,VYPNUTO,,,,,Kadaň,Domašín,"Louchov 20, 43151, Klášterec nad Ohří","50,4261800248152, 13,1780872549651",Podmileský potok,B3FDD129-C937-4AEC-8957-C6657D5A6F09,13.1781,50.4262,JTSK-KROVAK,992933.0,825086.0,Ustecky kraj,142250000100,1-13-02-099/2,C,6.249,km,542.63,m.n.m.
KA-13,NORMAL,3.0,10.0,70.4,2025-05-23 19:55:56,Kadaň,Perštejn (Rájov),"Hlavní 159, 43163, Perštejn","50,3941220461911, 13,0831428851008",Hučivý potok,7279B629-2CB3-482B-8DB4-B93E0FF35971,13.0831,50.3941,JTSK-KROVAK,995421.0,832301.0,Ustecky kraj,142150000100,1-13-02-089,C,4.43,km,541.14,m.n.m.
KA-14,NORMAL,2.0,13.9,57.4,2025-05-23 19:35:00,Kadaň,Perštejn,"Hlavní 159, 43163, Perštejn","50,3834591692329, 13,1114004571413",Malodolský potok,DFB194A8-9303-40FD-B5D8-31307C13A927,13.1114,50.3835,JTSK-KROVAK,996902.0,830498.0,Ustecky kraj,142160000100,1-13-02-090,C,1.176,km,361.87,m.n.m.
